date,flow
01/01/2019,43.4
02/01/2019,41.6
03/01/2019,40.6
04/01/2019,38.9
05/01/2019,37.4
06/01/2019,36.5
07/01/2019,35.8
08/01/2019,34.1
09/01/2019,34.3
10/01/2019,35.1
11/01/2019,34.3
12/01/2019,32.8
13/01/2019,32
14/01/2019,31.9
15/01/2019,31.7
16/01/2019,30.6
17/01/2019,29.8
18/01/2019,29.9
19/01/2019,31.2
20/01/2019,32.2
21/01/2019,32.5
22/01/2019,32.6
23/01/2019,35.9
24/01/2019,41.1
25/01/2019,40.4
26/01/2019,39.1
27/01/2019,37.3
28/01/2019,37.8
29/01/2019,61.2
30/01/2019,61.2
31/01/2019,58.2
01/02/2019,54.8
02/02/2019,71.2
03/02/2019,142
04/02/2019,243
05/02/2019,248
06/02/2019,185
07/02/2019,143
08/02/2019,118
09/02/2019,99.2
10/02/2019,86.9
11/02/2019,80.7
12/02/2019,98.9
13/02/2019,94
14/02/2019,83.7
15/02/2019,77.1
16/02/2019,71
17/02/2019,66.9
18/02/2019,64.7
19/02/2019,64.1
20/02/2019,64.1
21/02/2019,63.4
22/02/2019,62.9
23/02/2019,62
24/02/2019,57.4
25/02/2019,54.9
26/02/2019,52.6
27/02/2019,51.5
28/02/2019,49.5
01/03/2019,48.3
02/03/2019,48.7
03/03/2019,49.2
04/03/2019,48.5
05/03/2019,50.5
06/03/2019,56.7
07/03/2019,64
08/03/2019,75.7
09/03/2019,85.7
10/03/2019,92.7
11/03/2019,98.9
12/03/2019,111
13/03/2019,105
14/03/2019,98.3
15/03/2019,90.8
16/03/2019,86.3
17/03/2019,90.2
18/03/2019,108
19/03/2019,114
20/03/2019,112
21/03/2019,104
22/03/2019,96.7
23/03/2019,91.6
24/03/2019,90.4
25/03/2019,92.4
26/03/2019,95.1
27/03/2019,91.8
28/03/2019,83.6
29/03/2019,76.5
30/03/2019,71.6
31/03/2019,69.2
01/04/2019,69.3
02/04/2019,70.8
03/04/2019,72.8
04/04/2019,74.8
05/04/2019,74.8
06/04/2019,79
07/04/2019,86.6
08/04/2019,95.1
09/04/2019,104
10/04/2019,115
11/04/2019,131
12/04/2019,128
13/04/2019,119
14/04/2019,110
15/04/2019,101
16/04/2019,92.7
17/04/2019,85.5
18/04/2019,80.9
19/04/2019,76.4
20/04/2019,71.7
21/04/2019,70
22/04/2019,70.1
23/04/2019,72.3
24/04/2019,80.5
25/04/2019,96.4
26/04/2019,105
27/04/2019,110
28/04/2019,118
29/04/2019,109
30/04/2019,102
01/05/2019,94.7
02/05/2019,87.1
03/05/2019,79.8
04/05/2019,75.1
05/05/2019,78.7
06/05/2019,99
07/05/2019,108
08/05/2019,99.8
09/05/2019,89.9
10/05/2019,83.2
11/05/2019,78.3
12/05/2019,75.6
13/05/2019,75
14/05/2019,87.8
15/05/2019,111
16/05/2019,124
17/05/2019,129
18/05/2019,123
19/05/2019,114
20/05/2019,113
21/05/2019,114
22/05/2019,107
23/05/2019,99.8
24/05/2019,96.6
25/05/2019,91.1
26/05/2019,86.6
27/05/2019,83.9
28/05/2019,93.4
29/05/2019,105
30/05/2019,135
31/05/2019,145
01/06/2019,135
02/06/2019,128
03/06/2019,180
04/06/2019,292
05/06/2019,259
06/06/2019,228
07/06/2019,188
08/06/2019,160
09/06/2019,143
10/06/2019,129
11/06/2019,118
12/06/2019,106
13/06/2019,96.2
14/06/2019,87.6
15/06/2019,80.7
16/06/2019,74.9
17/06/2019,73.9
18/06/2019,77.2
19/06/2019,75.8
20/06/2019,70.7
21/06/2019,65
22/06/2019,60.3
23/06/2019,55.7
24/06/2019,53.8
25/06/2019,60.3
26/06/2019,54.5
27/06/2019,49.1
28/06/2019,45.9
29/06/2019,43.1
30/06/2019,40.8
01/07/2019,38.5
02/07/2019,36.4
03/07/2019,34.4
04/07/2019,33.4
05/07/2019,33.5
06/07/2019,32.3
07/07/2019,30.9
08/07/2019,30.1
09/07/2019,30.7
10/07/2019,42.5
11/07/2019,50.1
12/07/2019,40.5
13/07/2019,36.7
14/07/2019,36.7
15/07/2019,34.1
16/07/2019,32
17/07/2019,30.9
18/07/2019,29.4
19/07/2019,28.6
20/07/2019,29.1
21/07/2019,28.1
22/07/2019,27
23/07/2019,26.7
24/07/2019,25.7
25/07/2019,25.1
26/07/2019,24.5
27/07/2019,26.5
28/07/2019,25
29/07/2019,28.3
30/07/2019,31.7
31/07/2019,29.8
01/08/2019,27.8
02/08/2019,26.2
03/08/2019,25.2
04/08/2019,24.9
05/08/2019,24
06/08/2019,23.1
07/08/2019,22.3
08/08/2019,21.7
09/08/2019,21.1
10/08/2019,20.5
11/08/2019,20
12/08/2019,19.5
13/08/2019,19.2
14/08/2019,19.1
15/08/2019,21
16/08/2019,20.4
17/08/2019,19.5
18/08/2019,18.9
19/08/2019,18.5
20/08/2019,18
21/08/2019,17.6
22/08/2019,17.2
23/08/2019,17
24/08/2019,16.7
25/08/2019,16.9
26/08/2019,17.1
27/08/2019,17.4
28/08/2019,17.3
29/08/2019,16.7
30/08/2019,16.4
31/08/2019,16.1
01/09/2019,15.9
02/09/2019,15.7
03/09/2019,15.6
04/09/2019,15.6
05/09/2019,15.6
06/09/2019,15.9
07/09/2019,16.4
08/09/2019,16
09/09/2019,15.5
10/09/2019,15.3
11/09/2019,15.2
12/09/2019,15.1
13/09/2019,14.9
14/09/2019,14.6
15/09/2019,14.5
16/09/2019,14.3
17/09/2019,14.2
18/09/2019,14.1
19/09/2019,14.3
20/09/2019,14.6
21/09/2019,14.6
22/09/2019,14.3
23/09/2019,14.5
24/09/2019,16.8
25/09/2019,16.9
26/09/2019,16.1
27/09/2019,15.8
28/09/2019,15.5
29/09/2019,15.2
30/09/2019,14.9
01/10/2019,14.7
02/10/2019,14.6
03/10/2019,15.6
04/10/2019,19.7
05/10/2019,18.6
06/10/2019,17.7
07/10/2019,17
08/10/2019,16.5
09/10/2019,16.1
10/10/2019,15.8
11/10/2019,15.5
12/10/2019,15.3
13/10/2019,15.2
14/10/2019,15
15/10/2019,14.8
16/10/2019,14.7
17/10/2019,14.6
18/10/2019,14.5
19/10/2019,14.4
20/10/2019,14.3
21/10/2019,14.2
22/10/2019,14.1
23/10/2019,14.1
24/10/2019,14
25/10/2019,13.9
26/10/2019,13.9
27/10/2019,13.9
28/10/2019,13.8
29/10/2019,13.8
30/10/2019,13.8
31/10/2019,13.7
01/11/2019,13.7
02/11/2019,13.6
03/11/2019,13.9
04/11/2019,18
05/11/2019,52.5
06/11/2019,76
07/11/2019,141
08/11/2019,156
09/11/2019,123
10/11/2019,98
11/11/2019,97.9
12/11/2019,85.7
13/11/2019,107
14/11/2019,160
15/11/2019,165
16/11/2019,134
17/11/2019,102
18/11/2019,82.5
19/11/2019,69.8
20/11/2019,61.5
21/11/2019,60.2
22/11/2019,56.4
23/11/2019,51.2
24/11/2019,46.4
25/11/2019,42
26/11/2019,38.6
27/11/2019,36.1
28/11/2019,34.2
29/11/2019,41
30/11/2019,63.3
01/12/2019,77.5
02/12/2019,71.6
03/12/2019,64.7
04/12/2019,59.8
05/12/2019,53.8
06/12/2019,49
07/12/2019,49.4
08/12/2019,69.9
09/12/2019,69.7
10/12/2019,65.7
11/12/2019,63.4
12/12/2019,57.9
13/12/2019,54.1
14/12/2019,51.6
15/12/2019,48.6
16/12/2019,44.8
17/12/2019,41.8
18/12/2019,39.7
19/12/2019,37.9
20/12/2019,36.5
21/12/2019,38.7
22/12/2019,76.7
23/12/2019,263
24/12/2019,259
25/12/2019,184
26/12/2019,135
27/12/2019,106
28/12/2019,88.6
29/12/2019,76.9
30/12/2019,67.3
31/12/2019,59.8
01/01/2020,46.9
02/01/2020,42.8
03/01/2020,39.1
04/01/2020,36.5
05/01/2020,35.5
06/01/2020,33.6
07/01/2020,31
08/01/2020,29.4
09/01/2020,28
10/01/2020,27.1
11/01/2020,26.5
12/01/2020,26
13/01/2020,25.2
14/01/2020,24.5
15/01/2020,23.7
16/01/2020,23
17/01/2020,22.4
18/01/2020,21.9
19/01/2020,21.7
20/01/2020,21.2
21/01/2020,20.3
22/01/2020,19.4
23/01/2020,19.2
24/01/2020,18.7
25/01/2020,18.7
26/01/2020,18.8
27/01/2020,20.7
28/01/2020,22.4
29/01/2020,25.7
30/01/2020,31.2
31/01/2020,29.8
01/02/2020,28.2
02/02/2020,27.2
03/02/2020,27.4
04/02/2020,29.1
05/02/2020,34.3
06/02/2020,34.9
07/02/2020,31.1
08/02/2020,29.9
09/02/2020,28.5
10/02/2020,28.1
11/02/2020,31.4
12/02/2020,49.1
13/02/2020,53.3
14/02/2020,47.7
15/02/2020,46.3
16/02/2020,42.5
17/02/2020,39.8
18/02/2020,38.9
19/02/2020,38.9
20/02/2020,41.3
21/02/2020,39.3
22/02/2020,37
23/02/2020,35
24/02/2020,34
25/02/2020,33.4
26/02/2020,35
27/02/2020,42.9
28/02/2020,51.3
29/02/2020,53.7
01/03/2020,50.2
02/03/2020,64.8
03/03/2020,135
04/03/2020,320
05/03/2020,307
06/03/2020,237
07/03/2020,222
08/03/2020,223
09/03/2020,196
10/03/2020,177
11/03/2020,158
12/03/2020,147
13/03/2020,153
14/03/2020,157
15/03/2020,148
16/03/2020,133
17/03/2020,118
18/03/2020,106
19/03/2020,97.3
20/03/2020,90.3
21/03/2020,84.7
22/03/2020,81.1
23/03/2020,77.2
24/03/2020,72.8
25/03/2020,68.3
26/03/2020,65.3
27/03/2020,65.6
28/03/2020,65
29/03/2020,62.4
30/03/2020,60.4
31/03/2020,58.6
01/04/2020,58.3
02/04/2020,56.3
03/04/2020,57.7
04/04/2020,59
05/04/2020,58.6
06/04/2020,59.7
07/04/2020,58.1
08/04/2020,49.5
09/04/2020,43.2
10/04/2020,46.5
11/04/2020,49.9
12/04/2020,51.9
13/04/2020,55.6
14/04/2020,62.3
15/04/2020,68.7
16/04/2020,64.2
17/04/2020,67
18/04/2020,71.6
19/04/2020,76.4
20/04/2020,84.3
21/04/2020,94.3
22/04/2020,113
23/04/2020,112
24/04/2020,105
25/04/2020,102
26/04/2020,102
27/04/2020,105
28/04/2020,108
29/04/2020,107
30/04/2020,115
01/05/2020,118
02/05/2020,117
03/05/2020,130
04/05/2020,130
05/05/2020,122
06/05/2020,118
07/05/2020,117
08/05/2020,115
09/05/2020,114
10/05/2020,109
11/05/2020,108
12/05/2020,107
13/05/2020,108
14/05/2020,105
15/05/2020,98.1
16/05/2020,89.4
17/05/2020,85.7
18/05/2020,80.6
19/05/2020,75.5
20/05/2020,70.9
21/05/2020,76.7
22/05/2020,70.2
23/05/2020,59
24/05/2020,51.9
25/05/2020,49.3
26/05/2020,46.6
27/05/2020,46.7
28/05/2020,48.5
29/05/2020,50.5
30/05/2020,49.3
31/05/2020,48.4
01/06/2020,47.2
02/06/2020,46.2
03/06/2020,46
04/06/2020,44.8
05/06/2020,41.9
06/06/2020,40.4
07/06/2020,40
08/06/2020,38.5
09/06/2020,36.9
10/06/2020,36.7
11/06/2020,35.5
12/06/2020,34.8
13/06/2020,32.8
14/06/2020,31.6
15/06/2020,31.4
16/06/2020,31.8
17/06/2020,32.7
18/06/2020,30.3
19/06/2020,29.2
20/06/2020,28.1
21/06/2020,30.1
22/06/2020,30.1
23/06/2020,77.1
24/06/2020,122
25/06/2020,95.2
26/06/2020,77.3
27/06/2020,67.4
28/06/2020,68.1
29/06/2020,69.8
30/06/2020,58.4
01/07/2020,49.4
02/07/2020,43.6
03/07/2020,42.2
04/07/2020,43.5
05/07/2020,40.5
06/07/2020,36.4
07/07/2020,46.6
08/07/2020,43.4
09/07/2020,35
10/07/2020,31
11/07/2020,28.2
12/07/2020,26.1
13/07/2020,25
14/07/2020,23.5
15/07/2020,22.4
16/07/2020,21.4
17/07/2020,21.8
18/07/2020,23.8
19/07/2020,26.1
20/07/2020,22.8
21/07/2020,21.1
22/07/2020,20
23/07/2020,19.1
24/07/2020,19.5
25/07/2020,18.6
26/07/2020,20.6
27/07/2020,19.2
28/07/2020,17.6
29/07/2020,18.9
30/07/2020,19.6
31/07/2020,19.2
01/08/2020,18.9
02/08/2020,18.3
03/08/2020,17.4
04/08/2020,16.7
05/08/2020,21.1
06/08/2020,26
07/08/2020,44.9
08/08/2020,47.6
09/08/2020,51.2
10/08/2020,41
11/08/2020,33.5
12/08/2020,30.5
13/08/2020,29.5
14/08/2020,28
15/08/2020,30.9
16/08/2020,33.8
17/08/2020,29.8
18/08/2020,28.6
19/08/2020,31.1
20/08/2020,29.8
21/08/2020,27.7
22/08/2020,24.5
23/08/2020,22.5
24/08/2020,21.3
25/08/2020,21.6
26/08/2020,23
27/08/2020,21
28/08/2020,19.8
29/08/2020,18.8
30/08/2020,17.8
31/08/2020,17.1
01/09/2020,16.4
02/09/2020,15.9
03/09/2020,15.5
04/09/2020,17.1
05/09/2020,15.5
06/09/2020,14.9
07/09/2020,14.4
08/09/2020,14
09/09/2020,13.7
10/09/2020,13.4
11/09/2020,13.2
12/09/2020,13
13/09/2020,12.8
14/09/2020,12.5
15/09/2020,12.3
16/09/2020,12.1
17/09/2020,12
18/09/2020,11.9
19/09/2020,11.6
20/09/2020,11.6
21/09/2020,11.6
22/09/2020,11.5
23/09/2020,12.3
24/09/2020,14
25/09/2020,13.7
